state_abbr,state_fips,state_name,vest_2020,precinct_field_2020,vest_2018,precinct_field_2018,vest_2016,precinct_field_2016,vest_2022,precinct_field_2022,vest_2024,precinct_field_2024,simplification,quantization,min_zoom,max_zoom,max_tile_bytes,big_flag,status,simplify_precincts,notes
OK,40,Oklahoma,ok_2020.zip,GEOID,ok_2018.zip,PRECINCT,ok_2016.zip,PRECINCT,,,,,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,published,0,
OR,41,Oregon,or_2020.zip,PRECINCT,or_2018.zip,PRECINCT,or_2016.zip,PRECINCT,,,,,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,published,0,
PA,42,Pennsylvania,pa_2020.zip,PRECINCT,pa_2018.zip,PRECINCT,pa_2016.zip,PRECINCT,pa_2022_gen_prec_csv.zip,UNIQUE_ID,pa_2024_gen_prec_csv.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,published,0,2022/2024 are csv-only (no shapefile); needs script support
RI,44,Rhode Island,ri_2020.zip,VTDST20,ri_2018.zip,VTDST20,ri_2016.zip,VTDST20,,,ri_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,published,0,
SC,45,South Carolina,sc_2020.zip,PCODE,sc_2018.zip,PCODE,sc_2016.zip,PCODE,sc_2022_gen_prec.zip,UNIQUE_ID,sc_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,published,0,
SD,46,South Dakota,sd_2020.zip,VTDST,sd_2018.zip,VTDST,sd_2016.zip,VTDST,,,,,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,published,0,
TN,47,Tennessee,tn_2020.zip,VTD,tn_2018.zip,VTD,tn_2016.zip,VTD,,,tn_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,published,0,
TX,48,Texas,tx_2020.zip,PCTKEY,tx_2018.zip,PCTKEY,tx_2016.zip,PCTKEY,tx_2022_gen_tx_vtd.zip,UNIQUE_ID,tx_2024_gen_tx_vtd.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,published,0,
UT,49,Utah,ut_2020.zip,PRECINCT,ut_2018.zip,PRECINCT,ut_2016.zip,PRECINCT,,,ut_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,published,0,
VA,51,Virginia,va_2020.zip,PRECINCT,va_2018.zip,PRECINCT,va_2016.zip,PRECINCT,,,va_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,published,0,extra years: 2017=va_2017.zip
VT,50,Vermont,vt_2020.zip,NAME20,vt_2018.zip,NAME20,vt_2016.zip,NAME20,,,vt_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,published,0,
WA,53,Washington,wa_2020.zip,PRECINCTNA,wa_2018.zip,PRCCODE,wa_2016.zip,PRECCODE,,,wa_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,published,0,
WI,55,Wisconsin,wi_2020.zip,WARDID,wi_2018.zip,WARDID,wi_2016.zip,WARDID,,,wi_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,published,0,
WV,54,West Virginia,wv_2020.zip,VTDST,wv_2018.zip,VTDST,wv_2016.zip,VTDST,,,wv_2024_gen_prec.zip,UNIQUE_ID,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,published,0,
WY,56,Wyoming,wy_2020.zip,VTDST20,wy_2018.zip,VTDST20,wy_2016.zip,VTDST20,,,,,0.0000000025,1e5,"11,4,0","14,12,8",650000,true,published,0,
